,Title,Authors,Topic,Category,Fiscal Year,Date Published,Abstract,URL,DatascopeTopic,DatascopeSubtopic,country
1,Contemporary aquaculture technologies fish markets and export: Armenia,Armenia Investment Climate Reform project,Competitive Sectors,Agribusiness ,2017,2017-05-22 00:00:00,"Second brochure on fish production highlighting new technologies and access to markets.
Highlights the major complications associated with intensive and cost-efficient fish farming. 
In Armenia, there are several pros and cons to its relationship with fish farming. ",https://hubs.worldbank.org/docs/imagebank/pages/docprofile.aspx?nodeid=27490464,Investment; Trade,Cost of Operations; Trade Outcomes,Armenia
2,Export supply chain of greenhouse crops - Armenia,"Review prepared by Gagik Gabrielyan, with the support of the Project team",,Agribusiness; Exports,2017,2017-05-22 00:00:00,"The export supply chain of greenhouse crops mapping aims to: a) Identify issues present in the greenhouse crop export supply chain, including market imperfections & legal and regulatory obstacles, b) develop recommendations to resolve the problems or challenges to improve the business and investment environment and to increase productivity and product competitiveness, and c) contribute to enhancing the investment attractiveness of the greenhouse crop production sector.  
The mapping focuses on both government regulations and policy in the agribusiness supply chain, market imperfections and their impact on the supply chain operation. 
",https://hubs.worldbank.org/docs/imagebank/pages/docprofile.aspx?nodeid=27490470,Innovation; Sectors,Entrepreneurship; Climate Competitiveness,Ghana
3,Adapting Global Entrepreneurship Acceleration Models to Clean Tech in Developing Countries: The Ghana Climate Innovation Center,"John Diamond with contributions from Michael Ehst, and Xue Zheng",Innovation and Entrepreneurship,Entrepreneurship; Climate/green,2017,2017-05-11 00:00:00,"Business 'accelerators' have had notable achievements growing successful businesses in developed countries with a focus on IT.
The Ghana Climate Innovation Center (GCIC) adopted this model to developing country conditions and applied it to clean tech.
This report looks at lessons from the GCIC's activities and their results.
",http://www.infodev.org/infodev-files/climate_technology_program_-_in_brief_no.4_-_adapting_global_entrepreneurship_acceleration_models_to_clean_tech_in_developing_countries_-_the_ghana_climate_innovation_center_-_may_-_2017_.pdf,Innovation; Sectors,Entrepreneurship; Climate Competitiveness,
4,Bringing Climate Opportunities to Entrepreneurs: Lessons Learned from the Caribbean Climate Innovation Center,"Xue Zheng with contributions from Jonathan Coony, Michael Lightman, Diletta Doretti, and Elaine Tinsley.",Innovation and Entrepreneurship,Entrepreneurship; Climate/green,2017,2017-05-11 00:00:00,"A wave of innovation in climate-related technology and business models has created numerous opportunities for companies in developing countries.
However, many aspiring start-ups don't have access to these latest developments.
This report examines the Caribbean Climate Innovation Center (CCIC) to bring the latest business ideas to local companies through Ideas Generation Sessions (IGSs).
",http://www.infodev.org/infodev-files/climate_technology_program_-_in_brief_no.5_-_bringing_climate_opportunities_to_entrepreneurs_lessons_learned_from_the_caribbean_climate_innovation_center_-_may_2017.pdf,Innovation; Sectors,Entrepreneurship; Climate Competitiveness,
5,"Creating a Hub, Creating a Buzz: How to Attract the Best and Brightest for Climate Innovation in Developing Countries","Rosa Lin with contributions from Jonathan Coony, Diletta Doretti, and Mike Ehst.",Innovation and Entrepreneurship,Entrepreneurship; Climate/green,2017,2017-05-11 00:00:00,"Successfully translating climate innovations to developing countries requires participation of quality talent and companies.
Generating the right profile for such climate innovation creates a virtuous circle to attract successful change-makers.
This report looks at lessons from seven Climate Innovation Centers (CICs) to build and promote their brand to create a thriving innovation hub.
",http://www.infodev.org/infodev-files/climate_technology_program_-_in_brief_no.6_-_creating_a_hub_creating_a_buzz_how_to_attract_the_best_and_brightest_for_climate_innovation_in_developing_countries_-_may_2017.pdf,Investment; Investment,Risk and Policy Uncertainty; Entry and Investment,
6,Maximizing potential benefits of FDI for competitiveness and sustainable development: World Bank Group report on investment policy and promotion diagnostics and tools,Christine Zhenwei Qiang; Roberto Echandi; Peter Kusek,Investment Climate,Investment policy; FDI,2017,2017-05-11 00:00:00,"The report aims to serve as a guide to governments to set priorities and policies leading to concrete and measurable results in FDI (Foreign Direct Investment) attraction, retention and benefits to the local economy. 
These are key elements in any government's agenda seeking to leverage FDI for creating jobs, increasing the competitiveness of the economy and contributing to sustainable growth.
",https://hubs.worldbank.org/docs/imagebank/pages/docprofile.aspx?nodeid=27446966,,,
7,How to make grants a better match for private sector development,"Diana Hristova, Antoine Coste",,Staff guidance,2017,2017-04-01 00:00:00,"The report reviews 106 matching grant projects implemented by the World Bank since the 1990s and assesses nine design and implementation features and their links with project outcomes.
While three quarters of the reviewed projects had a positive outcome rating, the definition of success each project used rarely reflected measures of broad and sustainable economic benefit.
The report recommends that teams identify a clear economic rationale, consider alternative instruments, carry out an economic analysis, assess the potential for additionality and spillovers, and establish a realistic exit strategy that would leave sustainable benefits. A strong monitoring and evaluation system is an equally important requirement and an essential tool for real-time assessment of impact, potential course corrections and learning. 
",https://hubs.worldbank.org/docs/imagebank/pages/docprofile.aspx?sq=%7B%22k%22%3A%22how%20to%20make%20grants%20a%20better%20match%22%2C%22rf%22%3A%5B%5D%2C%22pg%22%3A1%2C%22sb%22%3A%22Rank%22%2C%22so%22%3A%221%22%2C%22pr%22%3A%2210%22%2C%22dt%22%3A%5B%5D%2C%22sf%22%3A%22All%20Documents%22%7D&nodeid=27349279&pos=,Trade; Innovation,Reform Progress,
8,Reaping Digital Dividends : Leveraging the Internet for Development in Europe and Central Asia,Tim Kelly; Aleksandra Liaplina; Shawn Tan; Hernan Winkler,,Trade; Productivity,2017,2017-03-01 00:00:00,"Reaping digital dividends requires policies focused on telecommunications and analog complements, such as skills and the business environment. 
The Internet can increase firm productivity and digital trade. Governments need to improve the business environment to motivate firms to use digital technology more intensively, and to improve trade infrastructure to facilitate more digital trade. 
The speed of technology change is increasing and firms cannot use websites and emails to remain competitive. Governments also need to ensure that their regulations adapt with these changes.",https://openknowledge.worldbank.org/handle/10986/26151,Trade,Trade Outcomes,India; Nepal
9,"All these worlds are yours, except India : the effectiveness of export subsidies in Nepal ","Fabrice Defever; Daniel Reyes;
Alejandro Riaño; Gonzalo Varela",,Exports,2017,2017-03-01 00:00:00,"The Government of Nepal established a cash incentive aimed at promoting export diversification and increasing domestic value addition in its main export products.
The intervention has not been reaching the firms it meant to support. High fixed costs of filing, limited resources and a first-come first-serve allocation mechanism have been impediments for exporters. 
Flexibility in design, following public-private dialogue is crucial. The high costs of filing for the incentive induced firms to ask for the simplification of the application processes. 
The cash incentive to exporters has not helped export growth outside India. Our assessment of the effectiveness of the CISE export subsidy program in terms of its impact on firm-level export outcomes is negative. We find no significant effect of the export subsidy on firms' export values, quantities or prices.",http://documents.worldbank.org/curated/en/698681490020512516/All-these-worlds-are-yours-except-India-the-effectiveness-of-export-subsidies-in-Nepal,Trade; Investment,Trade Outcomes; Entry and Investment,
10,Trade insight – Trade-investment links get increasingly intricate (see page 10),Sanjay Kathuria; Ravindra Yatawara,,GVCs; FDI,2017,2017-03-01 00:00:00,"The fragmentation of production in global supply chains (GVCs) and the growing number of preferential trade agreements have changed the linkages between trade and foreign investment. 
Perceiving trade and foreign investment as substitutes or complements is now too simplistic and a new multinational enterprise decision-making integrated framework within GVCs will help understand these linkages. 
Today, MNEs decisions on production location, exporting, sourcing and ownership are growing factors in the way in which trade and foreign investment intertwine.
",http://sawtee.org/publications/Trade-Insight35.pdf,Trade,Competition and Competition Policy,
11,Making Trade an Engine of Growth for All - The Case for Trade and for Policies to Facilitate Adjustment,"WB, IMF and WTO in collaboration with T&C & DEC",,Trade policy,2017,2017-03-01 00:00:00,"The opening of trade over the past several decades has helped to drive global economic growth, lifting incomes across advanced, emerging, and developing countries. 
The paper stresses the role of supporting domestic policies and prompt attention to those individuals and communities at risk of being left behind. 
Together with domestic policies, further trade integration and strengthening of the rules-based trading system will be essential to achieve inclusive global growth.
",http://documents.worldbank.org/curated/en/318651491579082111/Making-trade-an-engine-of-growth-for-all-the-case-for-trade-and-for-policies-to-facilitate-adjustment,Trade,Trade Outcomes,
12,Economic Upgrading through Global Value Chain Participation: Which Policies Increase the Value Added Gains?,"Victor Kummritz,
Daria Taglioni,
Deborah Winkler
",,GVCs,2017,2017-03-01 00:00:00,"This paper uses two data sets of developing and industrialized countries at the sectoral level to relate global value chain participation as a buyer and seller to domestic value added. 
The study finds that global value chain integration increases domestic value added, especially on the selling side, which holds across all income levels. 
The results highlight the importance of policy for economic upgrading through global value chain integration. A detailed analysis shows that several policy areas mediate the gains from global value chains more through integration as a seller. Finally, the study observes that many of the results are driven by high- and upper-middle-income countries.
",http://documents.worldbank.org/curated/en/567861489688859864/Economic-upgrading-through-global-value-chain-participation-which-policies-increase-the-value-added-gains,Trade; Investment,Competition and Competition Policy; Risk and Policy Uncertainty,
13,Brexit: Trade Governance and Legal Implications for Third Countries (not for external distribution),Martín Molinuevo,,Trade policy; Investment policy,2017,2017-03-01 00:00:00,"While precise impact of Brexit on the EU/UK trade and investment agreements with third countries will depend primarily on the terms of the withdrawal agreement to be concluded between them, most scenarios suggest an extensive process of amendment of the text and/or commitments in multilateral and bilateral agreements. 
In all cases, third countries who consider that Brexit has diminished the value of their negotiated commitments have the opportunity to request compensation in sectoral commitments or changes in the text of the agreements, or ultimately terminate the agreement.  The process of amending the trade and investment agreements requires comprehensive knowledge of their trade and investment flows with the EU and the UK.
",http://documents.worldbank.org/curated/en/705891490038471881/Brexit-trade-governance-and-legal-implications-for-third-countries,Trade,,
14,Foreign Banks and Trade: Bridging the Information Gap?,Francesca de Nicola; Shawn W. Tan,,Trade,2017,2017-02-01 00:00:00,"Foreign banks can play an important role in facilitating international trade. Most research has focused on the financing role banks can play, but less is known about the information role. 
This report estimates a gravity model using sub-regional data from Turkey between 2002 and 2010 to explore whether foreign banks promote trade through the information channel. 
Findings indicate that the footprint of these foreign banks matters more for exports than the presence of these banks and the level of financial development of the sub-region",http://documents.worldbank.org/curated/en/758541487079872870/Foreign-banks-and-trade-bridging-the-information-gap,Innovation,Entrepreneurship,Albania
15,Walking the Last Mile: Operationalization of Albania’s Authorized Economic Operators Program,"Mirela Meko, Periklis Saragiotis, Pranvera Kastrati",,Business environment,2017,2017-02-01 00:00:00,"Albania’s Authorized Economic Operators (AEO) program is not yet operational, even though the country has adopted the necessary EU legal and regulatory frameworks. 
This SmartLesson outlines shortcomings in the adoption of AEO provisions under the European Community Customs Code (CCC) and the obstacles the national government has faced putting in place the complementary reform measures necessary to ensure practical effectiveness. 
Lessons learned from the Albanian experience may be instructive for other countries in the Central European Free Trade Agreement region as they look to operationalize their AEO programs without diverting from AEO Guidelines as set out in the EU acquis.
",https://smartlessons.ifc.org/smartlessons/lesson.html?id=3987,Trade,Trade Facilitation,Tajikistan
16,Working with Tajikistan to Develop Its First National Commodity Nomenclature of Foreign Economic Activities,"Alijon Aliev, Violane Konar-Leacy",,Trade facilitation/ logistics,2017,2017-02-01 00:00:00,"One of the most important instruments of trade facilitation is the commodity nomenclature, which provides a definition of all goods subject to foreign trade. 
Commodity nomenclature is used not only at the national level, but also by the World Trade Organization, the World Customs Organization, the United Nations, and other international entities. 
This SmartLesson discusses how the Central Asia Trade Logistics Project worked with the Customs Administration of the Republic of Tajikistan on the development of its first national commodity nomenclature.
",https://smartlessons.ifc.org/smartlessons/lesson.html?id=3985,Investment; Investment,Entry and Investment; Risk and Policy Uncertainty,Suriname
17,Suriname Sector Competitiveness Analysis : Identifying Opportunities and Constraints to Investment and Diversification in the Agribusiness and Extractives Sectors,John Anderson; Guillermo Arenas; Wim Douw; Susana Moreira; Remi Pelon; Andrew Shepherd; Eli Weiss,,FDI; Investment policy,2017,2017-01-01 00:00:00,"Identifies strategies for Suriname to diversify its economy, focusing on increasing private investment and removing constraints to competitiveness in agriculture and extractives.
Agriculture: Recommends a subsector-focused investment promotion campaign to attract new investors and remove constraints to investment and exports and prioritizes the high-value fruits and vegetables subsectors.
Extractives: a series of legal, policy, and institutional reforms can facilitate new investment in exploration and extraction and improve governance in mining and oil sectors.",https://openknowledge.worldbank.org/handle/10986/26205,Innovation,Entrepreneurship,
18,Facility for investment climate advisory services (FIAS) 2016 annual review,T&C Staff,,Business environment; competition policy,2017,2017-01-01 00:00:00,"For the five-year strategy cycle, FIAS helped bring about 341 reforms in 83 countries across all developing regions in areas such as ease of starting a business, access to credit, access to electricity, investment policy and promotion, investor protections, cross-border trade, and registering property.
Of the 341 reforms, 73 percent were in IDA countries; 66 percent were in Sub-Saharan Africa; and 30 percent were in countries in fragile or conflict-affected situations.
Total confirmed investment generated in the form of specific private sector commitments to development projects brought about with FIAS support was $1.58 billion.",https://hubs.worldbank.org/docs/imagebank/pages/docprofile.aspx?nodeid=27183391,Sectors,Climate Competitiveness,
19,Climate Competitive Industries : A Practitioner’s Handbook,Etienne Raffi Kechichian; Jiemei Liu ,,Climate/green,2017,2017-01-01 00:00:00,"To help tackle the challenge of climate change, sustainability and competitive growth of the industrial sector, this Handbook provides practitioners and policy makers step-by-step guidance on how to turn ideas into effective programs.
The Handbook guides the practitioner through the design, development, and implementation of industrial resource efficiency programs with four well-structured modules. 
The last module specifically focuses on the development of energy performance standards and labelling (S& L) initiatives.",https://openknowledge.worldbank.org/handle/10986/25852,Trade,Trade Outcomes,
20,Firms' export decisions : demand trumps financial shocks,Francesca de Nicola; Shawn W. Tan,,Exports,2017,2017-01-01 00:00:00,"Report studies the relationship between access to credit, demand shocks, and export market adjustments using firm-level panel survey data from the ECA region. 
The study finds that domestic shocks to demand have a significant influence on the firm’s decision to participate in international markets and on the firm’s share of foreign sales. Foreign shocks to demand only affect the firm’s share of foreign sales. 
Conversely, the role of financial constraints on either the extensive or the intensive margin is more nuanced.",http://documents.worldbank.org/curated/en/360281485353684824/Firms-export-decisions-demand-trumps-financial-shocks,Innovation; Innovation,Reform Progress; Entrepreneurship,
21,"Taxing the Good?  Distortions, Misallocation, and Productivity
in Sub-Saharan Africa
",Xavier Cirera; Roberto Fattal Jaef; Hibret Maemir,,Productivity; Business environment,2017,2017-01-01 00:00:00,"Report analyzes the extent of firm level distortions in four Sub-Saharan Africa countries - Cote d'Ivoire, Ethiopia, Ghana and Kenya. 
The assessment finds significant firm-level are positively correlated with firm-level productivity in all four countries, providing evidence that more productive firms (`good') are `taxed' more. 
Misallocation of resources away from more efficient firms have a quantitatively sizable detrimental impact on aggregate productivity – contra factual experiments suggest that removing all distortions could increase productivity from 31.4% in Cote d’Ivoire to 160% in Kenya.
The size of existing distortions is correlated with various measures of business environment, such as lack of access to finance and the costs associated to electricity shortages, corruption and red-tape.",http://documents.worldbank.org/curated/en/492891485178180375/pdf/WPS7949.pdf,Trade,Trade Facilitation,Montenegro
22,Establishing a National Trade Facilitation Committee: Lessons Learned from Montenegro,"Ratka Stijepovic, Violane Konar-Leacy",,Trade facilitation/ logistics,2017,2017-01-01 00:00:00,"In May 2015, Montenegro established a National Trade Facilitation Committee, moving it one step closer to compliance with the World Trade Organization Trade Facilitation Agreement which was signed in late 2013, and becoming the first country in the Europe & Central Asia region to do so. 
This SmartLesson describes how a small country in the former Yugoslavia has been moving to establish, with donor support, an effective NTFC, and provides an example for its neighbors in the region.
",https://smartlessons.ifc.org/smartlessons/lesson.html?id=3980,Sectors; Innovation,Manufacturing; Reform Progress,
23,Services in the European Union: What Kind of Regulatory Policies Enhance Productivity,Erik Van Der Marel; Janez Kren; Mariana Iooty de Paiva,,Manufacturing/ Services; Productivity,2017,2016-12-01 00:00:00,"This paper is the first one to show the effects of services regulations on downstream firms in the goods and services sectors in a multiple-country setting using firm-level data.
The study selected a group of countries that are economically, relatively, services-oriented and show varying degrees of services regulations over time, namely the European Union; it employs four alternative firm-level measures of total factor productivity that have recently been developed in the economics literature and provide robust conclusions.
Overall, the results suggest that regulatory barriers in services have diverse effects on downstream manufacturing performance, depending on the type of regulatory measure in question.
Furthermore, it shows that regulations matter significantly more in the cases when a country is institutionally weak, an industry is considered as relatively close to the technology frontier, or a firm is foreign owned. ",http://documents.worldbank.org/curated/en/431711481813102900/Services-in-the-European-Union-what-kinds-of-regulatory-policies-enhance-productivity,Economy,Economic Outcomes,Dominica; Dominican Republic
24,Special Economic Zones in the Dominican Republic: Policy Considerations for a more Competitive and Inclusive Sector,Daniel Reyes; Michael Ferrantino; Jakob Engel; Guillermo Arenas,,Spatial growth/SEZs,2017,2016-11-01 00:00:00,"The report evaluated the developmental impact of SEZs in the Dominican Republic along three dimensions: i) implications of regulatory reforms aimed at complying with WTO disciplines, ii) extent to which SEZs participate in GVCs, and iii) their linkages with domestic suppliers.
The report suggests interventions around three priority policy areas: i) policies aimed at developing and strengthening domestic linkages, ii) improve institutional coordination across multiple actors working on the overall support framework for trade and Foreign Direct Investment, and iii) support policies to ameliorate labor adjustment costs accrued by the structural change in SEZ's sectoral specialization.",http://documents.worldbank.org/curated/en/184001487332346268/Special-economic-zones-global-value-chains-and-the-degree-of-domestic-linkages-in-the-Dominican-Republic,Trade,Trade Outcomes,
