Category,DatascopeTopic,DatascopeSubtopic
Agribusiness,Investment,Cost of Operations
Business environment,Innovation,Entrepreneurship
Business regulation,Innovation,Entrepreneurship
Climate/green,Sectors,Climate Competitiveness
Competition policy,Trade,Competition and Competition Policy
Competiton policy,Trade,Competition and Competition Policy
Connectivity,Trade,Connectivity
Connectivity/ regional integration,Trade,Connectivity
Connectivity/regional integration,Trade,Connectivity
Entrepreneurship,Innovation,Entrepreneurship
Entrpreneurship,Innovation,Entrepreneurship
Exports,Trade,Trade Outcomes
FDI,Investment,Entry and Investment
Fragile and conflict,Investment,FCS Investment Trends
Gender,Economy,Gender
GVCs,Trade,Trade Outcomes
Health/ Education/ Energy,Economy,Economic and Social Context
Health/Education/Energy,Economy,Economic and Social Context
Innovation,Innovation,NA
Investment Climate,Investment,FCS Investment Trends
Investment policy,Investment,Risk and Policy Uncertainty
Jobs,Economy,Private Sector Investment
Manufacturing,Sectors,Manufacturing
Manufacturing/ Services,Sectors,Manufacturing
Manufacturing/Services,Sectors,Manufacturing
PPD,NA,NA
Productivity,Innovation,Reform Progress
Reform Progress,Innovation,Reform Progress
regional integration,Trade,Connectivity
SEZs,Economy,Economic Outcomes
SMEs,Innovation,Entrepreneurship
Spatial growth/SEZs,Economy,Economic Outcomes
Staff guidance,NA,NA
Tourism,Sectors,Tourism
Trade,Trade,NA
Trade facilitation/ logistics,Trade,Trade Facilitation
Trade facilitation/logistics,Trade,Trade Facilitation
Trade policy,Trade,Competition and Competition Policy
